artist_name,artist_ID,artist_followers,artist_popularity
Captives,2XIbOWDT5vZPW7jNyzdfcK,3486,41
Wage War,6bu7CtcOMWcS0BMq7snHW6,120045,61
I Prevail,3Uobr6LgQpBbk6k4QGAb3V,398016,74
Imminence,7rqJQQxuUOCk052MK5kLsH,23499,46
Dayseeker,5FjQVp1Lb0kltmwIuu5kfj,25306,48
Motionless In White,6MwPCCR936cYfM1dLsGVnl,486835,64
As I Lay Dying,2vd2HnNh4pdYa9gDVHFjEu,405025,63
Heart Of A Coward,6GIZRqEJJNx3MFaC1YoFMZ,31118,43
Siamese,0Hx4gv3eoiodtu6XYHF1X0,4937,41
Awaken I Am,3BwbgahlwovSpRfctWi8zY,12233,42
Captives,2XIbOWDT5vZPW7jNyzdfcK,3486,41
Famous Last Words,3rxPTMtxVQKNAbBBl6cQrw,70497,49
I Prevail,3Uobr6LgQpBbk6k4QGAb3V,398016,74
Awake At Last,6p8wVHDOljhtAZQWAwIHN8,5795,38
Of Virtue,4GnK2zRFtw1gBoiFORWHsA,2834,37
Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,327002,60
The Brave,07nyrtO9X26aBUAl6Odu3M,5305,42
Aphyxion,40UIlN4YEByXy4ewEZmqXu,3592,35
While She Sleeps,38LdIuxB548zgHoEY2AN7a,191741,64
Wolves At The Gate,0Z88iXWc4YVhtu1eFtsGk6,43309,43
Desasterkids,6VxknSO12wvdVB7mNojX8T,3707,37
Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz,1035263,69
TIMELESS,4FvojRROKYT9c7VJUkIy8i,682,35
I Prevail,3Uobr6LgQpBbk6k4QGAb3V,398016,74
Prospective,0HV13XD3wrHiWmP0vnLeuS,1373,20
Siamese,0Hx4gv3eoiodtu6XYHF1X0,4937,41
Breathe Atlantis,6YLWRVTViX4bm2mGxRy9XN,3138,36
Outline In Color,6drAKOLWO1vzBrdmJmg5SE,27020,48
SHVPES,0XrqdPZEYIUOUOc9rtee4m,9731,43
Cabin Boy Jumped Ship,4DgFNYd8vdx6ew57alHC0S,3371,31
Fronz,5ZW4VbgS0RYV09SD40168V,198,35
Acres,3y43zXffnLmhyQD1K4QCmD,8667,36
Through The Noise,2UOeLnnxpzM9yC5w7TtSHV,1159,29
Jahna Lund,4AgbpjVlp5Ntcs3U0hJvu1,0,27
Polar,6eby39yemH7FjGVwJID1Tw,11702,42
Crooked Royals,0J7GkwIuZsv0bzCBKeSziA,561,35
Lukas Magyar,4LmDA6NJDOGvRXwJszUOmM,27,32
Hills Have Eyes,3Fv2tsp92SxLAAjln6MfQf,5332,31
Of Virtue,4GnK2zRFtw1gBoiFORWHsA,2834,37
Imminence,7rqJQQxuUOCk052MK5kLsH,23499,46
Dreamshade,3A7sZMxNjhJWX7apY1UpQO,15588,39
River Becomes Ocean,6xLpAXwI7XGsRgroyZCY3L,1617,35
Liam Cormier,5IrAy16J58yAZf42VLRa5m,58,36
Dance Gavin Dance,6guC9FqvlVboSKTI77NG2k,286792,70
Any Given Day,4p6RoajGbtqLSfYZpFxHyU,42609,53
Thornhill,2dE5audbkV3o5cKxvM7lBD,8142,42
Samsara,0ANKR2epssG5frR5CnCn9c,1014,28
Sleep Talk,6ExnmjCksuXVYgog4R9it2,3925,32
Johnny Booth,2rEKSdoBVBEOjGYf4BfYgc,1401,36
Wars,2vq5JF65Ce2w34pi7OUeXu,2762,32
Kingdom Of Giants,77rcxvpDqP78d90dL3DNNe,28071,45
Bury Tomorrow,6BD4lgmnh4vy6kkCaZRDWt,103337,57
Nine Shrines,5LgPoZGQ3w6YmtNLw0BVmL,6497,42
Windwaker,46le9d4IkW3C6zTxhkuxIS,2158,38
Red Handed Denial,51hAPClmrwe6oa8aXLsbq7,10759,41
Andrew Ivashchenko,3mqAvJqXFI4y5hJn5Alepo,7,28
While She Sleeps,38LdIuxB548zgHoEY2AN7a,191741,64
Palisades,2w6slVluzWlwADP8aB5yz5,88017,61
Any Given Day,4p6RoajGbtqLSfYZpFxHyU,42609,53
Blood Youth,7f6aaGesYhnRPTcI36JGsb,13668,47
If I Were You,64eAZjkDzPIGbBuiANH78Y,14146,45
Acres,3y43zXffnLmhyQD1K4QCmD,8667,36
Dream State,3PPxT6AXgPvvajfvP1LQtw,30123,47
Fit For A King,0OgdRTPItr9dw4XYp4JJUx,121774,59
Holding Absence,2tl280wIokrLjabzrSKTgU,10998,45
Betraying The Martyrs,4tEWLl4loWFLgs25trNnro,75635,48
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,341737,65
Kill the Blonde,0ZvOZmIF1RNOvfDTxS5Nwo,288,28
Resolve,52tIYMYQgBbgOFIJHaOPxY,1346,29
Polar,6eby39yemH7FjGVwJID1Tw,11702,42
Alexisonfire,53RsXctnNmj9oKXvcbvzI2,203595,58
Ivy Crown,0Ty4er900wlIfeKinucbBp,375,26
Kim Song Sternkopf,3tO21gfugw3hwlibuah7nH,12,26
Ghost Iris,0OG1DoaGFeeXGYBGbbCjka,12651,42
While She Sleeps,38LdIuxB548zgHoEY2AN7a,191741,64
The Royal,7CY8ubeqhaVfNYuN3VM18n,6955,37
Ryo Kinoshita,0hFOSb4sdsDLsAhwwSheWH,41,30
Sylar,78vP5COn64VXULgkIQovEA,33958,49
Blood Youth,7f6aaGesYhnRPTcI36JGsb,13668,47
Drag Me Out,2dg4ezhcEZKGGNJkCqbvHB,6415,38
Spiritbox,4MzJMcHQBl9SIYSjwWn8QW,9588,40
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2313352,79
coldrain,4pCVGaLWxDe4d8bsjsnmUM,69625,50
To the Rats and Wolves,5HhxMvGWdoNk5gQLPUplZR,13285,40
Like A Storm,5gFZo6Oh5WehnbEj0XtxiF,53656,52
Afterlife,7LeHdLOuiySZgt7ewdckbX,5523,41
CrazyEightyEight,7cwpp7caWpzvusuo7wUHHQ,19413,45
ExitWounds,0EPHt0TLlWWLUl6SZNwuf0,912,27
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2313352,79
Dani Filth,76qhZXwfMnhJPXacLwGcNK,645,56
Rising Insane,7InRNmmQuAi5KGBFtfOkrf,1344,26
If I Were You,64eAZjkDzPIGbBuiANH78Y,14146,45
Devin Oliver,1WgwPjQnoH1mz20PcQKqOz,177,33
Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,425732,60
Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw,341583,68
Bad Omens,3Ri4H12KFyu98LMjSoij5V,64612,52
Light The Torch,6RIRplpyp79REfeBrvW8rH,68639,54
Blood Youth,7f6aaGesYhnRPTcI36JGsb,13668,47
The Disaster Area,5cNBtvhQCLKWInveVFe49O,2943,32
Capsize,3Nt2h0gWNi9cxuLeNjOsET,21961,37
Vigils,3EzYyT79hzNl6mxm7v44h0,1841,34
Stories Through Storms,0lr5JmP9qsCGEUADM9uSWC,1745,31
Leya Siri,1lH4p1vzq9mPOOhdNLxlSY,9,24
IMMERSE,3S3vmLBBxnscJGPLeqVKQN,682,28
Architects,3ZztVuWxHzNpl0THurTFCv,328456,66
Architects,3ZztVuWxHzNpl0THurTFCv,328456,66
Palisades,2w6slVluzWlwADP8aB5yz5,88017,61
Captives,2XIbOWDT5vZPW7jNyzdfcK,3486,41
Imminence,7rqJQQxuUOCk052MK5kLsH,23499,46
Breathe Atlantis,6YLWRVTViX4bm2mGxRy9XN,3138,36
Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,425732,60
